"PAREDINT","BOOKSHOME","READ_AVG"
16,NA,614.4452
12,4,484.1588
16,6,677.1773
12,2,531.0248
12,2,570.4623
16,4,426.2382
16,3,351.4907
16,4,541.5499
16,4,479.6939
16,6,548.0776
16,1,599.0943
12,NA,512.4081
14.5,3,443.9162
16,NA,640.9333
NA,NA,605.8254
16,4,588.3953
16,4,559.1278
12,1,490.5752
14.5,4,625.2189
16,6,613.9178
9,2,313.2727
12,4,399.1835
16,4,614.8035
12,7,603.0211
16,4,556.6363
14.5,3,595.8721
16,3,472.6176
NA,NA,343.831
9,2,538.3619
16,2,580.1161
16,6,703.6392
12,NA,670.4394
16,4,402.9657
16,NA,632.8866
16,3,411.0322
16,1,397.3814
16,6,447.2041
6,4,615.5677
16,4,524.0002
16,4,640.3987
14.5,1,467.8105
3,1,267.7854
12,4,466.5729
16,2,486.5856
16,2,583.159
16,3,507.1562
16,NA,644.7446
16,4,508.0082
14.5,4,516.1663
14.5,2,408.4794
16,NA,462.0621
16,NA,572.8516
12,2,441.2248
16,6,649.571
16,6,703.6697
14.5,4,509.8422
16,3,483.3545
3,2,599.7572
16,4,342.0732
12,2,538.5156
12,2,554.0186
14.5,4,437.5591
16,2,537.7309
9,1,298.3049
16,4,560.4937
12,4,604.0554
14.5,1,283.0074
9,2,435.8046
NA,NA,392.7542
16,4,407.8843
16,7,572.0159
16,NA,472.8163
14.5,4,494.8398
16,3,490.3336
16,6,554.0134
3,2,413.2146
16,6,508.6821
12,NA,735.1633
12,4,390.9006
16,4,490.5133
NA,NA,355.1362
12,4,593.3794
12,1,410.684
16,4,623.883
12,3,395.3901
16,NA,550.5434
16,2,566.2773
9,3,444.8823
12,4,528.8119
9,4,296.0565
9,2,475.3499
NA,NA,503.8622
16,1,334.8058
16,4,500.1852
16,2,416.5694
16,2,393.2666
12,1,301.4722
12,4,481.2628
12,3,293.3069
16,4,538.9461
NA,NA,516.2886
12,3,369.5163
9,2,521.295
14.5,3,410.4395
16,1,369.5742
3,2,550.3159
12,4,547.6498
16,3,523.4652
12,3,408.4797
14.5,2,614.0647
16,NA,525.2238
16,4,512.0737
16,4,527.1493
12,4,669.7946
16,4,589.3409
14.5,2,272.5412
16,3,540.0683
16,2,446.5122
16,4,620.6673
12,1,338.5913
12,3,461.5175
12,3,548.1602
14.5,6,604.7636
12,4,293.9399
14.5,1,353.1356
16,6,552.9467
16,3,535.1209
16,3,360.2387
16,NA,487.529
12,2,602.7114
16,NA,592.839
16,7,650.9636
NA,NA,529.6596
16,NA,616.1588
16,NA,485.6639
16,4,570.8421
12,2,309.4977
16,6,593.936
16,2,544.6418
9,4,272.5813
16,2,403.0099
12,1,461.6312
12,3,318.4323
14.5,2,450.674
12,3,573.8997
16,4,524.0678
12,4,520.6061
16,4,426.5124
12,2,412.5278
16,3,447.9083
14.5,3,613.8226
NA,NA,619.7567
14.5,7,535.4775
12,1,569.0544
16,6,500.9386
14.5,4,434.6199
14.5,4,596.5487
12,3,461.6107
16,4,562.1462
NA,NA,445.5525
12,4,627.7833
6,2,494.7623
16,6,718.1438
NA,2,415.0489
14.5,6,512.7122
12,3,284.5192
12,4,391.5966
16,4,486.9105
14.5,2,567.6085
12,1,441.4035
3,2,431.727
NA,NA,569.8499
12,2,702.652
NA,NA,524.6894
9,3,401.2817
NA,NA,523.9787
16,4,352.5854
12,3,355.2023
16,4,594.8232
16,4,479.8681
16,4,445.2085
12,3,533.6216
16,3,633.3968
12,NA,422.7406
16,NA,490.0553
16,4,654.5501
12,NA,567.1602
16,2,486.4853
16,2,536.625
12,4,508.2678
16,6,631.9173
14.5,NA,618.7312
12,4,726.5741
16,1,398.5547
16,2,444.6672
16,NA,480.4375
6,2,429.3483
16,3,425.4695
12,2,294.8028
16,4,447.659
16,3,486.2419
16,2,481.345
16,3,529.7311
16,4,439.2171
16,NA,638.5065
16,3,704.2682
12,2,538.4926
9,6,403.4065
12,4,464.3017
16,2,424.575
16,6,723.0643
16,2,525.2036
16,2,498.2499
12,2,409.5407
12,3,335.4912
16,6,567.1569
NA,NA,382.2037
14.5,1,331.6624
12,2,322.3379
9,3,555.6444
12,4,587.923
16,NA,506.4427
16,3,617.2916
16,NA,514.6723
NA,NA,577.0349
16,3,261.7558
16,4,421.6519
9,2,500.5423
6,3,438.5806
12,4,693.0818
9,1,472.9504
14.5,3,503.0007
12,NA,724.392
16,4,585.3317
9,1,366.2607
14.5,4,390.7072
16,7,484.7259
16,3,373.6021
16,3,546.285
12,2,388.3329
16,NA,361.8232
16,3,403.2388
16,NA,574.7814
12,4,583.3519
9,2,275.5992
12,NA,441.4737
12,4,486.3237
12,2,429.9627
16,2,601.4832
14.5,4,587.4317
12,4,544.9895
16,4,533.6791
16,4,471.0953
16,4,601.6698
16,NA,533.9986
16,3,359.7244
16,2,390.2351
16,NA,646.7385
6,2,407.6353
16,NA,510.6866
12,4,479.1119
14.5,2,448.0203
9,4,506.893
16,NA,726.0701
16,2,299.5406
12,4,553.9388
16,4,577.101
16,7,479.7937
12,2,529.4698
16,4,552.9129
16,1,467.0309
16,3,456.1528
12,NA,480.5226
16,6,700.7477
12,3,564.655
16,6,541.3802
16,7,623.5456
12,1,385.5292
16,4,486.2624
16,2,321.8983
16,4,485.0566
14.5,4,277.6118
12,2,472.4394
6,2,420.8886
16,3,467.489
9,2,345.7173
12,3,496.1336
16,2,338.5749
16,1,533.1706
16,1,253.4706
12,NA,324.6313
16,NA,633.6714
16,NA,484.1107
16,NA,374.5363
14.5,2,606.7461
14.5,2,519.4098
14.5,4,527.9373
14.5,2,333.024
16,3,498.5637
12,4,561.9756
6,2,572.1074
16,4,658.294
16,6,455.9363
12,2,316.4837
16,2,566.5207
12,7,652.0087
16,4,614.1997
12,3,533.938
16,1,320.0988
12,6,474.4742
12,3,360.8678
16,NA,391.8435
16,2,339.564
12,1,279.7798
14.5,2,682.0056
16,6,598.6039
16,7,439.0424
16,3,575.7704
12,4,604.7811
