"PAREDINT","BOOKSHOME","TECH","READ_AVG"
12,4,0.4946,484.1588
16,6,1.002,677.1773
12,2,-0.748,531.0248
12,2,1.7606,570.4623
16,4,1.4757,426.2382
16,3,0.9061,351.4907
16,4,0.2867,541.5499
16,4,2.2545,479.6939
16,6,-0.3588,548.0776
16,1,-1.597,599.0943
14.5,3,0.8701,443.9162
16,4,0.916,588.3953
16,4,-0.0073,559.1278
12,1,-1.8134,490.5752
14.5,4,0.5869,625.2189
16,6,-0.1591,613.9178
9,2,0.5224,313.2727
12,4,-0.102,399.1835
16,4,-0.0073,614.8035
12,7,1.9116,603.0211
16,4,-0.1622,556.6363
14.5,3,-0.651,595.8721
16,3,1.2353,472.6176
9,2,0.037,538.3619
16,2,0.1106,580.1161
16,6,1.5585,703.6392
16,4,1.4072,402.9657
16,3,0.8086,411.0322
16,1,-1.1862,397.3814
16,6,1.4126,447.2041
6,4,0.2546,615.5677
16,4,1.0382,524.0002
16,4,-0.651,640.3987
14.5,1,-0.3003,467.8105
3,1,-1.9015,267.7854
12,4,0.4248,466.5729
16,2,0.3983,486.5856
16,2,0.9758,583.159
16,3,-0.032,507.1562
16,4,0.2893,508.0082
14.5,4,0.5889,516.1663
14.5,2,-1.6506,408.4794
12,2,-0.651,441.2248
16,6,-0.9327,649.571
16,6,0.8511,703.6697
14.5,4,-0.6709,509.8422
16,3,1.2368,483.3545
3,2,-0.3003,599.7572
16,4,1.3087,342.0732
12,2,-0.5784,538.5156
12,2,-0.8091,554.0186
14.5,4,0.5133,437.5591
16,2,-0.8601,537.7309
9,1,2.1804,298.3049
16,4,-0.4646,560.4937
12,4,-0.8762,604.0554
14.5,1,-0.6458,283.0074
9,2,1.8755,435.8046
16,4,0.5886,407.8843
16,7,0.4181,572.0159
14.5,4,-0.9124,494.8398
16,3,-0.2768,490.3336
16,6,2.7727,554.0134
3,2,-1.2089,413.2146
16,6,0.3624,508.6821
12,4,0.2028,390.9006
16,4,-0.9552,490.5133
12,4,0.9473,593.3794
12,1,0.0185,410.684
16,4,-0.0136,623.883
12,3,0.3311,395.3901
16,2,-0.0073,566.2773
9,3,0.2124,444.8823
12,4,0.4011,528.8119
9,4,-1.2395,296.0565
9,2,0.3732,475.3499
16,1,-1.538,334.8058
16,4,-0.2803,500.1852
16,2,-0.0073,416.5694
16,2,-1.2415,393.2666
12,1,-1.3354,301.4722
12,4,0.1891,481.2628
12,3,-0.3003,293.3069
16,4,1.682,538.9461
12,3,2.132,369.5163
9,2,0.4426,521.295
14.5,3,0.2014,410.4395
16,1,0.7174,369.5742
3,2,-0.4482,550.3159
12,4,-1.405,547.6498
16,3,1.3441,523.4652
12,3,0.4003,408.4797
14.5,2,0.4856,614.0647
16,4,0.1891,512.0737
16,4,-0.4258,527.1493
12,4,0.1724,669.7946
16,4,0.7387,589.3409
14.5,2,-0.5139,272.5412
16,3,1.2946,540.0683
16,2,0.1891,446.5122
16,4,0.9858,620.6673
12,1,-3.1147,338.5913
12,3,0.4505,461.5175
12,3,-0.6259,548.1602
14.5,6,0.1601,604.7636
12,4,0.0291,293.9399
14.5,1,-0.843,353.1356
16,6,1.9042,552.9467
16,3,0.9524,535.1209
16,3,0.3085,360.2387
12,2,0.7641,602.7114
16,7,1.2422,650.9636
16,4,-0.3588,570.8421
12,2,-1.9015,309.4977
16,6,-0.2097,593.936
16,2,0.8542,544.6418
9,4,1.4815,272.5813
16,2,0.9702,403.0099
12,1,-0.9621,461.6312
12,3,1.1811,318.4323
14.5,2,-0.6205,450.674
12,3,0.5224,573.8997
16,4,-0.3295,524.0678
12,4,0.3583,520.6061
16,4,-0.6548,426.5124
12,2,-0.1315,412.5278
16,3,0.1428,447.9083
14.5,3,-0.3527,613.8226
14.5,7,1.3291,535.4775
12,1,0.1296,569.0544
16,6,0.2886,500.9386
14.5,4,-1.1525,434.6199
14.5,4,-0.1559,596.5487
12,3,0.1597,461.6107
16,4,-0.132,562.1462
12,4,-0.1622,627.7833
6,2,0.0147,494.7623
16,6,0.6731,718.1438
14.5,6,0.76,512.7122
12,3,0.3449,284.5192
12,4,-0.8091,391.5966
16,4,2.9915,486.9105
14.5,2,0.2181,567.6085
12,1,-0.8091,441.4035
3,2,-0.759,431.727
12,2,0.7159,702.652
9,3,0.6293,401.2817
16,4,1.253,352.5854
12,3,0.0395,355.2023
16,4,-0.1177,594.8232
16,4,0.6731,479.8681
16,4,0.689,445.2085
12,3,0.3344,533.6216
16,3,1.7606,633.3968
16,4,0.66,654.5501
16,2,-0.2812,486.4853
16,2,-0.2875,536.625
12,4,-0.3003,508.2678
16,6,1.516,631.9173
12,4,0.879,726.5741
16,1,-0.8741,398.5547
16,2,0.3085,444.6672
6,2,0.0882,429.3483
16,3,1.313,425.4695
12,2,-1.9712,294.8028
16,4,-0.0674,447.659
16,3,-0.0073,486.2419
16,2,0.5118,481.345
16,3,-0.7631,529.7311
16,4,0.7505,439.2171
16,3,0.5598,704.2682
12,2,0.1371,538.4926
9,6,1.9458,403.4065
12,4,-1.7674,464.3017
16,2,1.2763,424.575
16,6,0.6453,723.0643
16,2,-1.4212,525.2036
16,2,0.4343,498.2499
12,2,1.3585,409.5407
12,3,-0.6878,335.4912
16,6,0.3427,567.1569
14.5,1,-0.5752,331.6624
12,2,2.1651,322.3379
9,3,-0.8647,555.6444
12,4,0.1891,587.923
16,3,0.0102,617.2916
16,3,0.1692,261.7558
16,4,1.0641,421.6519
9,2,-1.0112,500.5423
